Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
1994439,ME,PAS,1438400834,06/05/2018,07:58A,DETACHED TRAILER,,45.00,10.00,0.00,0.00,0.00,55.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROUkdkNlRrRTlQUT09&locationName=_____________________)
GJK1149,NY,PAS,8836261050,09/14/2020,04:34P,CROSSWALK,,115.00,0.00,0.00,0.00,115.00,0.00,046,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOVkVFeFRVRTlQUT09&locationName=_____________________)
HXP4226,NY,PAS,8836261577,09/16/2020,02:45P,REG. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,043,BX,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmVrNXFTVEpOVkZVelRuYzlQUT09&locationName=_____________________)
1742308,ME,PAS,1438400846,06/05/2018,07:52A,DETACHED TRAILER,,45.00,10.00,0.00,0.00,0.00,55.00,094,K,POLICE DEPARTMENT,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrOUVVWGROUkdjd1RtYzlQUT09&locationName=_____________________)
RR2L42,PA,PAS,8488549829,02/03/2020,08:46A,NO STANDING-DAY/TIME LIMITS,,115.00,10.00,0.00,0.00,0.00,125.00,108,Q,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEJQVkdkNVQxRTlQUT09&locationName=_____________________)
46886MM,NY,COM,8488549854,02/03/2020,08:59A,NO PARKING-DAY/TIME LIMITS,,60.00,10.00,0.00,0.00,0.00,70.00,108,Q,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEJQVkdjeFRrRTlQUT09&locationName=_____________________)
KVB7578,PA,PAS,8488549891,02/03/2020,10:36A,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,0.00,0.00,115.00,114,Q,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEJQVkdjMVRWRTlQUT09&locationName=_____________________)
JCN1843,NY,PAS,8488549908,02/03/2020,10:37A,NO STANDING-DAY/TIME LIMITS,,115.00,10.00,0.00,0.00,0.00,125.00,114,Q,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEJQVkd0M1QwRTlQUT09&locationName=_____________________)
30599KA,NY,COM,8488550121,09/01/2017,05:15P,FAIL TO DISP. MUNI METER RECPT,01/04/2018,65.00,60.00,44.87,0.00,0.00,169.87,013,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOUkVWNVRWRTlQUT09&locationName=_____________________)
T698300C,NY,OMT,8488550728,09/12/2017,01:47P,NO STANDING-HOTEL LOADING,12/28/2017,115.00,60.00,61.59,0.00,0.00,236.59,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVWVEZOUkdONVQwRTlQUT09&locationName=_____________________)
