Building Type,Incident Zip,Borough,Day of Week,Date of Report,Duration of Call (min)
Private Home,10462,Bronx,1,2023-04-24,39
Villa,11086,Queens,7,2023-09-03,13
Hotel,10068,Manhattan,3,2023-03-22,8
Hotel,10466,Bronx,6,2023-06-03,19
Apartment Complex,11217,Brooklyn,3,2023-11-08,20
Private Home,11060,Queens,5,2023-10-27,25
Apartment Complex,10061,Manhattan,7,2023-02-26,52
Apartment Complex,11029,Queens,1,2023-10-16,60
Hotel,10302,Staten Island,1,2023-02-06,57
Hotel,10050,Manhattan,1,2023-12-18,31
Private Home,10306,Staten Island,7,2023-05-14,21
Hotel,10155,Manhattan,7,2023-01-29,18
Hotel,10093,Manhattan,5,2023-06-16,14
Private Home,11023,Queens,7,2023-04-23,29
Hotel,11079,Queens,4,2023-03-09,16
Villa,11033,Queens,1,2023-12-25,22
Villa,11246,Brooklyn,1,2023-04-17,35
Apartment Complex,10462,Bronx,2,2023-11-14,37
Apartment Complex,10090,Manhattan,4,2023-03-16,2
Private Home,10474,Bronx,3,2023-08-09,47
Private Home,11236,Brooklyn,7,2023-07-23,31
Private Home,11243,Brooklyn,7,2023-10-01,14
Hotel,10313,Staten Island,6,2023-05-06,5
Private Home,11042,Queens,2,2023-12-26,25
Villa,10469,Bronx,5,2023-07-14,52
Private Home,10457,Bronx,1,2023-04-24,20
Hotel,10454,Bronx,1,2023-06-26,57
Villa,10451,Bronx,2,2023-04-11,39
Private Home,11073,Queens,1,2023-04-03,56
Villa,11238,Brooklyn,2,2023-11-14,6
Apartment Complex,11237,Brooklyn,5,2023-02-03,35
Hotel,11204,Brooklyn,6,2023-06-24,9
Villa,11226,Brooklyn,5,2023-07-14,29
Apartment Complex,10463,Bronx,7,2023-06-04,5
Hotel,10065,Manhattan,4,2023-04-20,16
Villa,10070,Manhattan,2,2023-02-21,39
Apartment Complex,10072,Manhattan,7,2023-10-22,41
Hotel,10246,Manhattan,6,2023-03-11,29
Hotel,10306,Staten Island,1,2023-03-13,6
Private Home,11250,Brooklyn,1,2023-08-21,25
Hotel,10308,Staten Island,4,2023-12-07,41
Private Home,11238,Brooklyn,4,2023-08-03,54
Apartment Complex,11205,Brooklyn,3,2023-01-18,33
Villa,10271,Manhattan,4,2023-02-09,46
Villa,10050,Manhattan,5,2023-12-01,24
Private Home,10306,Staten Island,4,2023-06-01,30
Hotel,10213,Manhattan,3,2023-11-08,45
Villa,11074,Queens,1,2023-08-14,2
Private Home,10215,Manhattan,7,2023-06-25,12
Apartment Complex,10304,Staten Island,2,2023-12-05,6
Hotel,11212,Brooklyn,5,2023-07-14,57
Apartment Complex,10030,Manhattan,2,2023-08-08,33
Hotel,10470,Bronx,1,2023-04-03,5
Apartment Complex,10309,Staten Island,6,2023-11-25,51
Villa,11063,Queens,4,2023-05-25,14
Apartment Complex,10474,Bronx,4,2023-10-05,53
Private Home,10468,Bronx,1,2023-01-16,16
Private Home,10310,Staten Island,4,2023-06-08,15
Private Home,10307,Staten Island,7,2023-11-12,31
Apartment Complex,10301,Staten Island,7,2023-02-26,25
Private Home,11018,Queens,2,2023-01-17,27
Apartment Complex,10312,Staten Island,2,2023-04-11,9
Villa,11240,Brooklyn,4,2023-07-20,41
Hotel,10102,Manhattan,4,2023-10-05,21
Apartment Complex,10311,Staten Island,5,2023-12-08,16
Villa,10470,Bronx,1,2023-07-03,46
Hotel,10311,Staten Island,3,2023-02-15,38
Villa,10034,Manhattan,7,2023-02-12,19
Hotel,11245,Brooklyn,1,2023-07-31,4
Apartment Complex,10262,Manhattan,3,2023-07-26,24
Villa,11068,Queens,5,2023-01-13,45
Apartment Complex,11056,Queens,6,2023-01-28,25
Apartment Complex,10218,Manhattan,4,2023-10-19,40
Apartment Complex,11210,Brooklyn,5,2023-03-24,48
Villa,10305,Staten Island,7,2023-04-09,56
Villa,11101,Queens,3,2023-11-08,42
Villa,10243,Manhattan,4,2023-06-15,48
Apartment Complex,10310,Staten Island,5,2023-11-03,9
Villa,10016,Manhattan,5,2023-05-19,49
Private Home,10308,Staten Island,5,2023-12-15,57
Villa,10310,Staten Island,4,2023-04-27,19
Villa,11231,Brooklyn,2,2023-10-03,23
Apartment Complex,10461,Bronx,2,2023-11-21,34
Apartment Complex,10213,Manhattan,5,2023-11-17,4
Private Home,10461,Bronx,1,2023-09-04,2
Private Home,10306,Staten Island,4,2023-09-07,32
Private Home,10452,Bronx,6,2023-01-07,27
Hotel,10307,Staten Island,4,2023-09-07,54
Private Home,10313,Staten Island,1,2023-04-17,47
Apartment Complex,10305,Staten Island,7,2023-01-01,33
Hotel,11069,Queens,1,2023-10-23,59
Villa,11244,Brooklyn,2,2023-08-01,4
Private Home,11223,Brooklyn,7,2023-04-16,40
Villa,10461,Bronx,7,2023-09-03,14
Villa,10305,Staten Island,3,2023-05-10,5
Villa,10459,Bronx,2,2023-03-07,27
Private Home,11216,Brooklyn,7,2023-08-20,4
Hotel,10312,Staten Island,6,2023-12-30,22
Hotel,10306,Staten Island,7,2023-01-22,12
Apartment Complex,11221,Brooklyn,5,2023-09-01,32
Apartment Complex,11035,Queens,7,2023-04-23,34
Apartment Complex,10302,Staten Island,1,2023-09-18,11
Villa,11075,Queens,1,2023-11-06,7
Hotel,10214,Manhattan,4,2023-11-30,59
Villa,10465,Bronx,6,2023-12-23,34
Villa,11081,Queens,1,2023-03-06,52
Hotel,10303,Staten Island,6,2023-01-14,52
Hotel,11232,Brooklyn,1,2023-11-20,40
Villa,10305,Staten Island,3,2023-10-25,35
Apartment Complex,10302,Staten Island,4,2023-11-02,13
Villa,11058,Queens,2,2023-08-15,34
Hotel,10180,Manhattan,2,2023-12-26,39
Private Home,10302,Staten Island,2,2023-08-22,22
Villa,10473,Bronx,6,2023-10-28,37
Villa,11108,Queens,3,2023-03-01,38
Villa,10201,Manhattan,2,2023-09-26,54
Hotel,11213,Brooklyn,5,2023-07-21,34
Apartment Complex,11251,Brooklyn,4,2023-12-28,56
Apartment Complex,10187,Manhattan,2,2023-06-13,14
Apartment Complex,10312,Staten Island,1,2023-05-29,45
Villa,10459,Bronx,4,2023-07-20,15
Private Home,10120,Manhattan,5,2023-06-16,45
Private Home,10469,Bronx,5,2023-04-21,20
Private Home,11235,Brooklyn,2,2023-05-23,39
Villa,10302,Staten Island,4,2023-04-20,40
Villa,10474,Bronx,5,2023-12-08,20
Private Home,11225,Brooklyn,3,2023-12-06,53
Villa,10083,Manhattan,7,2023-04-30,40
Private Home,10139,Manhattan,7,2023-09-10,12
Hotel,10471,Bronx,4,2023-11-02,37
Private Home,10457,Bronx,5,2023-09-01,59
Private Home,10473,Bronx,6,2023-03-11,7
Private Home,11035,Queens,1,2023-11-27,30
Apartment Complex,10273,Manhattan,4,2023-05-25,7
Villa,11235,Brooklyn,5,2023-04-28,31
Villa,10459,Bronx,2,2023-06-13,4
Hotel,11050,Queens,7,2023-09-17,7
Apartment Complex,10468,Bronx,3,2023-05-31,12
Private Home,10203,Manhattan,5,2023-05-19,3
Apartment Complex,10163,Manhattan,4,2023-08-03,22
Hotel,10305,Staten Island,4,2023-02-16,43
Private Home,10462,Bronx,4,2023-03-02,52
Villa,10268,Manhattan,2,2023-01-03,47
Villa,11242,Brooklyn,7,2023-03-19,16
Villa,11073,Queens,6,2023-07-08,18
Apartment Complex,11084,Queens,4,2023-12-28,18
Hotel,11050,Queens,6,2023-11-18,53
Private Home,11215,Brooklyn,4,2023-09-14,24
Private Home,10457,Bronx,2,2023-08-29,60
Private Home,10119,Manhattan,7,2023-10-01,50
Apartment Complex,10301,Staten Island,6,2023-08-26,20
Villa,11007,Queens,1,2023-06-26,20
Apartment Complex,11241,Brooklyn,1,2023-05-15,13
Villa,10463,Bronx,5,2023-07-28,19
Apartment Complex,10457,Bronx,2,2023-10-17,32
Private Home,11069,Queens,1,2023-03-13,43
Villa,11202,Brooklyn,4,2023-01-12,39
Apartment Complex,11216,Brooklyn,2,2023-08-01,31
Villa,10302,Staten Island,1,2023-04-03,35
Private Home,10305,Staten Island,5,2023-09-29,20
Hotel,10304,Staten Island,2,2023-10-03,10
Villa,10267,Manhattan,7,2023-11-12,45
Private Home,10469,Bronx,1,2023-10-16,34
Private Home,11089,Queens,1,2023-01-09,26
Apartment Complex,10457,Bronx,1,2023-12-25,9
Hotel,11055,Queens,1,2023-12-18,6
Private Home,10312,Staten Island,7,2023-12-24,7
Hotel,11242,Brooklyn,1,2023-04-17,9
Apartment Complex,11005,Queens,1,2023-06-12,31
Hotel,10459,Bronx,1,2023-12-11,31
Private Home,11059,Queens,7,2023-04-02,12
Villa,10304,Staten Island,5,2023-12-22,53
Hotel,10463,Bronx,7,2023-04-30,41
Apartment Complex,11018,Queens,7,2023-08-20,2
Private Home,11047,Queens,3,2023-09-06,37
Private Home,10466,Bronx,5,2023-03-17,10
Villa,11057,Queens,5,2023-06-16,24
Villa,10226,Manhattan,7,2023-09-10,18
Hotel,10465,Bronx,3,2023-06-28,24
Villa,10255,Manhattan,3,2023-04-12,6
Private Home,11228,Brooklyn,6,2023-11-11,34
Apartment Complex,11069,Queens,1,2023-12-11,39
Villa,11071,Queens,5,2023-12-01,35
Hotel,11090,Queens,3,2023-07-19,48
Apartment Complex,10184,Manhattan,6,2023-09-02,29
Villa,10160,Manhattan,2,2023-11-14,36
Apartment Complex,11105,Queens,3,2023-01-18,6
Hotel,10071,Manhattan,4,2023-06-08,52
Apartment Complex,10200,Manhattan,4,2023-11-30,1
Hotel,11104,Queens,4,2023-04-27,36
Private Home,11031,Queens,2,2023-01-03,28
Private Home,10457,Bronx,2,2023-06-27,55
Apartment Complex,10309,Staten Island,6,2023-07-22,21
Apartment Complex,11065,Queens,6,2023-12-09,55
Apartment Complex,10154,Manhattan,4,2023-01-26,35
Villa,11208,Brooklyn,7,2023-10-22,20
Villa,11237,Brooklyn,2,2023-05-16,22
Villa,11107,Queens,5,2023-11-24,43
Hotel,10301,Staten Island,4,2023-12-21,17
Villa,10464,Bronx,5,2023-11-17,29
Apartment Complex,11011,Queens,1,2023-11-27,15
Villa,11242,Brooklyn,6,2023-07-08,46
Private Home,10178,Manhattan,1,2023-06-05,51
Villa,10119,Manhattan,1,2023-11-20,32
Villa,11251,Brooklyn,5,2023-05-12,40
Villa,10453,Bronx,6,2023-07-29,12
Apartment Complex,11041,Queens,2,2023-08-08,14
Hotel,10066,Manhattan,6,2023-12-30,23
Apartment Complex,10037,Manhattan,2,2023-10-10,14
Hotel,10309,Staten Island,4,2023-01-05,13
Hotel,10306,Staten Island,3,2023-06-21,21
Private Home,10225,Manhattan,2,2023-03-21,33
Private Home,11230,Brooklyn,5,2023-07-07,52
Hotel,10469,Bronx,3,2023-01-25,38
Hotel,10308,Staten Island,1,2023-01-09,26
Hotel,10064,Manhattan,7,2023-11-12,3
Villa,11206,Brooklyn,7,2023-03-05,27
Private Home,10305,Staten Island,2,2023-11-28,60
Hotel,10463,Bronx,1,2023-10-23,24
Private Home,11055,Queens,2,2023-10-24,57
Private Home,11234,Brooklyn,2,2023-09-19,57
Villa,10153,Manhattan,4,2023-07-27,10
Private Home,11253,Brooklyn,7,2023-03-19,32
Hotel,10226,Manhattan,7,2023-07-30,40
Villa,10460,Bronx,6,2023-01-21,4
Villa,11061,Queens,6,2023-01-28,54
Villa,11007,Queens,3,2023-04-26,46
Hotel,11102,Queens,3,2023-07-12,3
Apartment Complex,11086,Queens,1,2023-09-25,47
Villa,10108,Manhattan,7,2023-07-23,34
Private Home,10310,Staten Island,7,2023-07-23,31
Hotel,11088,Queens,3,2023-05-17,2
Villa,11232,Brooklyn,1,2023-03-27,26
Private Home,11224,Brooklyn,5,2023-06-02,37
Apartment Complex,10460,Bronx,3,2023-06-28,6
Villa,11201,Brooklyn,4,2023-03-02,52
Private Home,10173,Manhattan,7,2023-06-11,17
Apartment Complex,11059,Queens,2,2023-08-22,49
Private Home,10308,Staten Island,3,2023-09-27,49
Hotel,10455,Bronx,7,2023-10-01,21
Hotel,10458,Bronx,6,2023-01-21,39
Private Home,11059,Queens,2,2023-07-11,7
Private Home,10104,Manhattan,5,2023-12-01,49
Hotel,11020,Queens,6,2023-12-30,45
Private Home,10464,Bronx,7,2023-03-05,18
Hotel,10313,Staten Island,1,2023-07-17,32
Hotel,11069,Queens,3,2023-06-14,4
Private Home,10466,Bronx,7,2023-11-05,54
Private Home,10141,Manhattan,2,2023-03-21,37
Hotel,10302,Staten Island,2,2023-04-18,56
Villa,11091,Queens,4,2023-03-30,32
Hotel,10453,Bronx,4,2023-10-19,40
Hotel,11224,Brooklyn,4,2023-03-30,22
Apartment Complex,11051,Queens,4,2023-03-02,60
Hotel,11044,Queens,6,2023-11-04,28
Private Home,10470,Bronx,1,2023-01-30,60
Hotel,10139,Manhattan,1,2023-05-01,33
Villa,10309,Staten Island,1,2023-10-09,25
Apartment Complex,10472,Bronx,2,2023-05-23,11
Villa,10038,Manhattan,4,2023-04-20,4
Apartment Complex,11250,Brooklyn,5,2023-08-25,56
Apartment Complex,11030,Queens,2,2023-02-07,11
Apartment Complex,10313,Staten Island,3,2023-11-22,16
Hotel,11056,Queens,4,2023-11-09,8
Villa,10167,Manhattan,5,2023-09-08,52
Private Home,10466,Bronx,2,2023-11-14,3
Villa,11240,Brooklyn,5,2023-06-02,24
Villa,11240,Brooklyn,5,2023-04-14,47
Private Home,10004,Manhattan,1,2023-11-06,47
Villa,10453,Bronx,2,2023-12-05,20
Hotel,10457,Bronx,5,2023-02-24,26
Hotel,10301,Staten Island,1,2023-12-04,51
Villa,10462,Bronx,7,2023-04-23,19
Villa,10458,Bronx,7,2023-08-27,54
Private Home,10460,Bronx,4,2023-08-17,20
Villa,10470,Bronx,4,2023-03-02,15
Hotel,10464,Bronx,4,2023-01-26,33
Apartment Complex,10473,Bronx,4,2023-07-13,56
Private Home,10459,Bronx,2,2023-08-08,30
Private Home,10064,Manhattan,5,2023-11-24,47
Apartment Complex,11248,Brooklyn,7,2023-08-13,29
Private Home,10302,Staten Island,6,2023-03-25,57
Hotel,10456,Bronx,1,2023-09-11,16
Apartment Complex,11051,Queens,7,2023-05-14,58
Hotel,10474,Bronx,3,2023-02-15,21
Hotel,11229,Brooklyn,3,2023-05-03,44
Hotel,10460,Bronx,5,2023-09-15,19
Villa,10203,Manhattan,6,2023-10-14,16
Hotel,11221,Brooklyn,6,2023-08-19,8
Apartment Complex,10453,Bronx,3,2023-07-05,34
Apartment Complex,11093,Queens,3,2023-10-18,14
Hotel,10460,Bronx,4,2023-08-31,18
Hotel,10145,Manhattan,3,2023-06-21,9
Villa,10305,Staten Island,4,2023-09-07,7
Private Home,11203,Brooklyn,4,2023-11-23,42
Hotel,11222,Brooklyn,7,2023-02-12,60
Villa,11085,Queens,1,2023-10-16,52
Villa,11023,Queens,6,2023-05-27,13
Hotel,10305,Staten Island,2,2023-12-26,28
Private Home,10163,Manhattan,6,2023-01-14,19
Villa,10306,Staten Island,2,2023-05-30,32
Villa,11103,Queens,6,2023-11-04,29
Private Home,11240,Brooklyn,2,2023-10-17,1
Private Home,11086,Queens,6,2023-07-08,26
Hotel,11039,Queens,6,2023-10-14,18
Apartment Complex,11020,Queens,4,2023-12-21,33
Villa,11104,Queens,3,2023-12-06,40
Private Home,11245,Brooklyn,7,2023-01-22,13
Apartment Complex,11057,Queens,1,2023-03-27,1
Hotel,10451,Bronx,3,2023-03-29,49
Villa,10455,Bronx,2,2023-07-25,42
Private Home,11035,Queens,3,2023-05-10,15
Private Home,10452,Bronx,1,2023-04-17,51
Private Home,10471,Bronx,3,2023-07-05,28
Apartment Complex,10135,Manhattan,6,2023-12-30,29
Hotel,10458,Bronx,3,2023-08-30,29
Villa,10026,Manhattan,1,2023-06-26,9
Private Home,10471,Bronx,3,2023-09-06,19
Apartment Complex,11102,Queens,2,2023-11-28,11
Apartment Complex,11017,Queens,2,2023-10-24,30
Private Home,10313,Staten Island,3,2023-07-19,25
Apartment Complex,10275,Manhattan,2,2023-12-12,60
Villa,10460,Bronx,3,2023-05-10,52
Apartment Complex,10452,Bronx,2,2023-09-19,25
Apartment Complex,10183,Manhattan,4,2023-01-12,36
Private Home,11249,Brooklyn,1,2023-01-02,35
Private Home,10455,Bronx,1,2023-03-06,51
Private Home,10180,Manhattan,7,2023-09-03,51
Apartment Complex,11235,Brooklyn,1,2023-06-12,29
Villa,11064,Queens,3,2023-08-23,56
Villa,10305,Staten Island,1,2023-10-30,3
Private Home,10182,Manhattan,6,2023-04-22,51
Apartment Complex,10043,Manhattan,5,2023-01-27,19
Villa,11100,Queens,2,2023-10-03,33
Apartment Complex,10472,Bronx,4,2023-09-28,13
Villa,10309,Staten Island,1,2023-07-10,49
Apartment Complex,10108,Manhattan,5,2023-03-24,18
Apartment Complex,10188,Manhattan,3,2023-09-06,57
Private Home,11247,Brooklyn,5,2023-11-10,10
Hotel,10303,Staten Island,3,2023-08-30,23
Apartment Complex,11211,Brooklyn,5,2023-09-01,60
Apartment Complex,11250,Brooklyn,1,2023-06-12,24
Private Home,10471,Bronx,1,2023-10-09,7
Apartment Complex,11035,Queens,3,2023-11-08,13
Hotel,11087,Queens,7,2023-10-15,37
Hotel,10309,Staten Island,2,2023-03-07,37
Private Home,11042,Queens,6,2023-12-09,30
Villa,10042,Manhattan,1,2023-07-10,17
Hotel,10454,Bronx,5,2023-10-20,41
Hotel,10120,Manhattan,3,2023-09-13,34
Apartment Complex,10103,Manhattan,4,2023-06-29,45
Hotel,10468,Bronx,6,2023-11-04,34
Apartment Complex,10460,Bronx,3,2023-04-12,25
Apartment Complex,10465,Bronx,6,2023-04-22,53
Apartment Complex,11222,Brooklyn,3,2023-08-23,29
Private Home,10301,Staten Island,7,2023-01-08,42
Private Home,11077,Queens,3,2023-08-02,19
Villa,11078,Queens,5,2023-07-07,33
Hotel,10110,Manhattan,4,2023-08-17,17
Apartment Complex,10303,Staten Island,3,2023-07-26,21
Apartment Complex,10063,Manhattan,5,2023-02-17,19
Hotel,10302,Staten Island,2,2023-02-14,28
